TypForetag,Placeringstillgangar,ContentsCode,Tid,value
Life insurance companies,2.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K1,4
Life insurance companies,2.3.6 Financial institutions (non-MFI),"Stock values, MSEK",2024K2,0
Life insurance companies,2.3.7 Non-financial enterprises,"Stock values, MSEK",2024K1,5314
Life insurance companies,2.3.7 Non-financial enterprises,"Stock values, MSEK",2024K2,3997
Life insurance companies,2.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K1,0
Life insurance companies,2.3.8 Other Swedish borrowers,"Stock values, MSEK",2024K2,32
Life insurance companies,2.4 Issued by foreign borrowers,"Stock values, MSEK",2024K1,1570
Life insurance companies,2.4 Issued by foreign borrowers,"Stock values, MSEK",2024K2,565
Life insurance companies,3. Bonds,"Stock values, MSEK",2024K1,1219160
Life insurance companies,3. Bonds,"Stock values, MSEK",2024K2,1261635
Life insurance companies,3.1 Issued in SEK,"Stock values, MSEK",2024K1,912437
Life insurance companies,3.1 Issued in SEK,"Stock values, MSEK",2024K2,938370
Life insurance companies,3.2 Issued in foreign currency,"Stock values, MSEK",2024K1,306723
Life insurance companies,3.2 Issued in foreign currency,"Stock values, MSEK",2024K2,323265
Life insurance companies,3.2.1   of which index-linked notes,"Stock values, MSEK",2024K1,9383
Life insurance companies,3.2.1   of which index-linked notes,"Stock values, MSEK",2024K2,9518
Life insurance companies,3.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K1,794671
Life insurance companies,3.3 Issued by Swedish borrowers,"Stock values, MSEK",2024K2,822281
Life insurance companies,3.3.1 Index-linked treasury bonds,"Stock values, MSEK",2024K1,50151
Life insurance companies,3.3.1 Index-linked treasury bonds,"Stock values, MSEK",2024K2,52170
Life insurance companies,3.3.2 Other government bonds,"Stock values, MSEK",2024K1,87234
Life insurance companies,3.3.2 Other government bonds,"Stock values, MSEK",2024K2,86598
Life insurance companies,3.3.3 Municipalities and regions,"Stock values, MSEK",2024K1,76671
Life insurance companies,3.3.3 Municipalities and regions,"Stock values, MSEK",2024K2,87479
Life insurance companies,3.3.4 Banks (MFI),"Stock values, MSEK",2024K1,83864
Life insurance companies,3.3.4 Banks (MFI),"Stock values, MSEK",2024K2,91007
Life insurance companies,3.3.5 Housing credit institutions (MFI),"Stock values, MSEK",2024K1,295675
Life insurance companies,3.3.5 Housing credit institutions (MFI),"Stock values, MSEK",2024K2,308944
Life insurance companies,3.3.6 Other MFI,"Stock values, MSEK",2024K1,53556
Life insurance companies,3.3.6 Other MFI,"Stock values, MSEK",2024K2,51795
Life insurance companies,3.3.7 Financial institutions (non-MFI),"Stock values, MSEK",2024K1,24814
Life insurance companies,3.3.7 Financial institutions (non-MFI),"Stock values, MSEK",2024K2,24718
Life insurance companies,3.3.8 Non-financial enterprises,"Stock values, MSEK",2024K1,119299
Life insurance companies,3.3.8 Non-financial enterprises,"Stock values, MSEK",2024K2,115957
Life insurance companies,3.3.9 Other Swedish borrowers,"Stock values, MSEK",2024K1,3407
Life insurance companies,3.3.9 Other Swedish borrowers,"Stock values, MSEK",2024K2,3612
Life insurance companies,3.4 Issued by foreign borrowers,"Stock values, MSEK",2024K1,424490
Life insurance companies,3.4 Issued by foreign borrowers,"Stock values, MSEK",2024K2,439354
Life insurance companies,4. Debentures and convertible loans,"Stock values, MSEK",2024K1,30432
Life insurance companies,4. Debentures and convertible loans,"Stock values, MSEK",2024K2,30529
Life insurance companies,4.1 Swedish MFI,"Stock values, MSEK",2024K1,3621
Life insurance companies,4.1 Swedish MFI,"Stock values, MSEK",2024K2,3590
Life insurance companies,"4.2 Swedish financial institutions, non-MFI","Stock values, MSEK",2024K1,0
Life insurance companies,"4.2 Swedish financial institutions, non-MFI","Stock values, MSEK",2024K2,0
Life insurance companies,4.3 Other Swedish borrowers,"Stock values, MSEK",2024K1,7216
Life insurance companies,4.3 Other Swedish borrowers,"Stock values, MSEK",2024K2,7223
Life insurance companies,4.4 Foreign borrowers,"Stock values, MSEK",2024K1,19595
Life insurance companies,4.4 Foreign borrowers,"Stock values, MSEK",2024K2,19716
Life insurance companies,5. Accrued interest,"Stock values, MSEK",2024K1,12851
Life insurance companies,5. Accrued interest,"Stock values, MSEK",2024K2,12321
Life insurance companies,6. Shares and participations,"Stock values, MSEK",2024K1,5062092
Life insurance companies,6. Shares and participations,"Stock values, MSEK",2024K2,5168616
Life insurance companies,6.1   of which shares in wholly owned real estate co.,"Stock values, MSEK",2024K1,121450
Life insurance companies,6.1   of which shares in wholly owned real estate co.,"Stock values, MSEK",2024K2,123344
Life insurance companies,6.2 Swedish shares,"Stock values, MSEK",2024K1,1036231
Life insurance companies,6.2 Swedish shares,"Stock values, MSEK",2024K2,1045397
Life insurance companies,6.2.1 Shares quoted,"Stock values, MSEK",2024K1,696227
Life insurance companies,6.2.1 Shares quoted,"Stock values, MSEK",2024K2,705677
Life insurance companies,6.2.2 Shares not quoted,"Stock values, MSEK",2024K1,340004
Life insurance companies,6.2.2 Shares not quoted,"Stock values, MSEK",2024K2,339720
Life insurance companies,6.3 Foreign shares,"Stock values, MSEK",2024K1,889159
Life insurance companies,6.3 Foreign shares,"Stock values, MSEK",2024K2,899133
Life insurance companies,6.4 Investment funds,"Stock values, MSEK",2024K1,2925222
